Día,Evento2
2026-02-24,ES Resultado Endesa
2026-02-24,ES Resultado Telefónica
2026-02-25,ES Resultado ACS
2026-02-25,ES Resultado Aena
2026-02-25,ES Resultado Ferrovial
2026-02-25,ES Resultado Iberdrola
2026-02-25,ES Resultado Rovi
2026-02-26,ES Resultado Acciona
2026-02-26,ES Resultado Colonial
2026-02-26,ES Resultado Corporacion Acciona Energias Renovables
2026-02-26,ES Resultado Fluidra
2026-02-26,ES Resultado Grifols
2026-02-26,ES Resultado Indra
2026-02-26,ES Resultado Redeia Corporacion
2026-02-26,ES Resultado Sacyr
2026-02-26,ES Resultado Solaria
2026-02-27,ES Resultado Acerinox
2026-02-27,ES Resultado Amadeus
2026-02-27,ES Resultado Cellnex Telecom
2026-02-27,ES Resultado IAG
2026-02-27,ES Resultado Merlin Properties
2026/02/23,"EU Comparecencia Lagarde, presidenta BCE"
2026/02/24,"EU Comparecencia Lagarde, presidenta BCE"
2026/02/24,US Confianza consumidor The Conference Board (Feb)
2026/02/25,EU IPC zona euro (YoY/Ene)
2026/02/25,"US Declaraciones Trump, presidente EE.UU."
2026/02/25,US Inventarios petróleo crudo AIE
2026/02/26,"EU Comparecencia Lagarde, presidenta BCE"
2026/02/26,US Nuevas peticiones subsidio desempleo
2026/02/27,ES IPC España (YoY/Feb/MoM)
2026/02/27,ES IPC subyacente (YoY/Feb)
2026/02/27,US IPP (Ene/MoM)
